Date,Open,High,Low,Close
1985-12-31,5.224,5.224,5.224,5.224
1986-01-01,6.213,6.213,6.213,6.213
1986-01-02,6.213,6.213,6.213,6.213
1986-01-03,6.213,6.213,6.213,6.213
1986-01-06,6.212,6.212,6.212,6.212
1986-01-07,6.212,6.212,6.212,6.212
1986-01-08,6.211,6.211,6.211,6.211
1986-01-09,6.21,6.21,6.21,6.21
1986-01-10,6.209,6.209,6.209,6.209
1986-01-13,6.209,6.209,6.209,6.209
1986-01-14,6.208,6.208,6.208,6.208
1986-01-15,6.208,6.208,6.208,6.208
1986-01-16,6.206,6.206,6.206,6.206
1986-01-17,6.206,6.206,6.206,6.206
1986-01-20,6.205,6.205,6.205,6.205
1986-01-21,6.131,6.131,6.131,6.131
1986-01-22,6.056,6.056,6.056,6.056
1986-01-23,6.055,6.055,6.055,6.055
1986-01-24,6.054,6.054,6.054,6.054
1986-01-27,6.054,6.054,6.054,6.054
1986-01-28,6.053,6.053,6.053,6.053
1986-01-29,6.053,6.053,6.053,6.053
1986-01-30,6.056,6.056,6.056,6.056
1986-01-31,6.056,6.056,6.056,6.056
1986-02-03,6.055,6.055,6.055,6.055
1986-02-04,5.951,5.951,5.951,5.951
1986-02-05,5.95,5.95,5.95,5.95
1986-02-06,5.948,5.948,5.948,5.948
1986-02-07,5.948,5.948,5.948,5.948
1986-02-10,5.947,5.947,5.947,5.947
1986-02-11,5.947,5.947,5.947,5.947
1986-02-12,5.946,5.946,5.946,5.946
1986-02-13,5.944,5.944,5.944,5.944
1986-02-14,5.944,5.944,5.944,5.944
1986-02-17,5.943,5.943,5.943,5.943
1986-02-18,5.942,5.942,5.942,5.942
1986-02-19,5.942,5.942,5.942,5.942
1986-02-20,5.94,5.94,5.94,5.94
1986-02-21,5.939,5.939,5.939,5.939
1986-02-24,5.939,5.939,5.939,5.939
1986-02-25,5.938,5.938,5.938,5.938
1986-02-26,5.937,5.937,5.937,5.937
1986-02-27,5.924,5.924,5.924,5.924
1986-02-28,5.923,5.923,5.923,5.923
1986-03-03,5.923,5.923,5.923,5.923
1986-03-04,5.922,5.922,5.922,5.922
1986-03-05,5.922,5.922,5.922,5.922
1986-03-06,5.92,5.92,5.92,5.92
1986-03-07,5.919,5.919,5.919,5.919
1986-03-10,5.918,5.918,5.918,5.918
1986-03-11,5.918,5.918,5.918,5.918
1986-03-12,5.917,5.917,5.917,5.917
1986-03-13,5.915,5.915,5.915,5.915
1986-03-14,5.915,5.915,5.915,5.915
1986-03-17,5.914,5.914,5.914,5.914
1986-03-18,5.913,5.913,5.913,5.913
1986-03-19,5.913,5.913,5.913,5.913
1986-03-20,5.356,5.356,5.356,5.356
1986-03-21,5.355,5.355,5.355,5.355
1986-03-24,5.367,5.367,5.367,5.367
1986-03-25,5.362,5.362,5.362,5.362
1986-03-26,5.388,5.388,5.388,5.388
1986-03-27,5.383,5.383,5.383,5.383
1986-03-28,5.378,5.378,5.378,5.378
1986-03-31,5.378,5.378,5.378,5.378
